slice,simpoint,weight,A_mode,B_mode,A_instr_cnt,B_instr_cnt,A_cycle_cnt,B_cycle_cnt,A_ipc,B_ipc,A_host_time_ms,B_host_time_ms,cycle_delta_pct,ipc_delta_pct,host_delta_pct,A_perf_time,B_perf_time
mcf_1773_0.00540212,1773,0.00540212,THP off,THP on,40000000,40000007,39976989,42951457,1.000576,0.931284,31453123,38027124,7.440450305049237,-6.925211078418822,20.90094837323467,39976994,42951462
mcf_2709_0.335742,2709,0.335742,THP off,THP on,40000001,40000003,71358964,68624579,0.560546,0.582882,44454419,51121838,-3.8318731757372486,3.9846863593710458,14.998326713031613,71358969,68624584
mcf_4019_0.180498,4019,0.180498,THP off,THP on,40000001,40000000,53112335,62037783,0.753121,0.644768,36171487,49713120,16.804849570255197,-14.387196745277322,37.437313539252614,53112340,62037788
mcf_5049_0.144169,5049,0.144169,THP off,THP on,40000000,40000007,16280860,16793812,2.456873,2.38183,12482278,15246952,3.1506443762798773,-3.054411033862962,22.148793673718853,16280865,16793817
mcf_5466_0.103316,5466,0.103316,THP off,THP on,40000000,40000001,19399697,18739393,2.061888,2.134541,14837766,17535021,-3.4036820265801055,3.5236152497128774,18.178309322306337,19399702,18739398
mcf_7363_0.059896,7363,0.059896,THP off,THP on,40000006,40000001,61586061,65999041,0.649498,0.606069,40112232,50921546,7.165550009766008,-6.6865486883716425,26.947675212887678,61586066,65999046
mcf_8719_0.00175569,8719,0.00175569,THP off,THP on,40000000,40000000,55604633,55362612,0.719365,0.722509,39315432,47163815,-0.43525329984643546,0.43705212235790236,19.962601453800634,55604638,55362617
mcf_8725_0.00513201,8725,0.00513201,THP off,THP on,40000004,40000007,28594285,28628350,1.398881,1.397217,22954075,27731482,0.1191321972205285,-0.11895221966701312,20.812892699880088,28594290,28628355
mcf_8837_0.0355865,8837,0.0355865,THP off,THP on,40000000,40000007,34674340,34844203,1.153591,1.147967,27743326,32692189,0.48988098980398764,-0.48752114050821077,17.838030667267507,34674345,34844208
mcf_9417_0.03822,9417,0.03822,THP off,THP on,40000000,40000007,22592900,21836043,1.770468,1.831834,17312099,19135349,-3.3499772052281913,3.466089192236179,10.53165188114971,22592905,21836048
mcf_10311_0.0726585,10311,0.0726585,THP off,THP on,40000001,40000001,61522702,62598173,0.650167,0.638996,39444927,48279352,1.7480880472382374,-1.7181739460784755,22.39685980405034,61522707,62598178
mcf_11026_0.00877845,11026,0.00877845,THP off,THP on,40000001,40000005,32549989,32409739,1.228879,1.234197,24922799,28373157,-0.4308757216477093,0.4327521261246985,13.844183392082085,32549994,32409744
mcf_13715_0.00884597,13715,0.00884597,THP off,THP on,40000000,40000000,42519006,41847020,0.940756,0.955863,32249602,36351863,-1.5804367580935452,1.6058361573032733,12.720346130163096,42519011,41847025
